split,filename,image_path,image_id,ann_id,layer,group,wb1,wb2,wb_product,wb_sum,area_px,log_area_px,bbox_w,bbox_h,bbox_aspect,roi_bg_pixels,ndg,delta_g,abs_delta_g,g_flake_median,g_bg_plane_median,g_delta_p10,g_delta_p90,g_delta_iqr,g_bg_std,g_flake_std,plane_a,plane_b,plane_c
train,2-0-4-2_png.rf.57c3a840ec9cb70e633c9f544f82335b.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/2-0-4-2_png.rf.57c3a840ec9cb70e633c9f544f82335b.jpg,1,2,4,png,2.0,4.2,8.4,6.2,3890,8.266421472984554,191.0,58.0,3.293103448275862,95548,-0.22758053661709945,-22.288990020751953,22.288990020751953,75.0,97.93891143798828,-28.09867935180664,-14.303881835937501,13.79479751586914,26.45029067993164,5.728824138641357,-0.010824691504240036,-0.040356509387493134,157.50091552734375
train,1_7-4_2-3-100_png.rf.8cc4fccf8aef42906ae3d956c2292e20.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/1_7-4_2-3-100_png.rf.8cc4fccf8aef42906ae3d956c2292e20.jpg,3,4,3,3-100_png,1.7,4.2,7.14,5.9,112422,11.630023821843135,420.0,429.0,0.9790209790209791,1124178,-0.12928715948948433,-9.386134147644043,9.386134147644043,63.0,72.59912109375,-10.545135498046875,-7.891316986083983,2.653818511962892,4.410155296325684,1.7012622356414795,-0.006163446698337793,-0.004819159861654043,80.65788269042969
train,1_7-3_9-3-100-4_png.rf.8c4880254fea02562928dc9abc6654e9.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/1_7-3_9-3-100-4_png.rf.8c4880254fea02562928dc9abc6654e9.jpg,4,5,3,3-100-4_png,1.7,3.9,6.63,5.6,44124,10.694781794235597,196.0,453.0,0.4326710816777042,556328,-0.1534127758896098,-11.620429039001465,11.620429039001465,64.0,75.74616241455078,-12.483969116210938,-10.080044555664061,2.4039245605468764,3.2603347301483154,1.656907558441162,0.004837722517549992,-0.005003476981073618,75.52620697021484
train,0_8-3_6-3-100_png.rf.f16ff1a36a3d54da1be3382a757cb2d6.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/0_8-3_6-3-100_png.rf.f16ff1a36a3d54da1be3382a757cb2d6.jpg,5,6,3,3-100_png,0.8,3.6,2.8800000000000003,4.4,113040,11.635505863745324,414.0,423.0,0.9787234042553191,1156380,-0.05196213307456184,-8.35290813446045,8.35290813446045,153.0,160.74990844726562,-10.352410888671875,-6.8217422485351555,3.530668640136719,6.011565685272217,1.8692851066589355,-0.003442254150286317,-0.006704417522996664,165.93914794921875
train,1_4-4_5-3-100-4_png.rf.67ca7e725d9762296194ffbde0c689f3.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/1_4-4_5-3-100-4_png.rf.67ca7e725d9762296194ffbde0c689f3.jpg,6,7,3,3-100-4_png,1.4,4.5,6.3,5.9,44310,10.69898823220789,197.0,452.0,0.4358407079646018,559214,-0.10483175590805005,-10.100640296936035,10.100640296936035,86.0,96.35095977783203,-11.120101928710938,-8.846139526367187,2.2739624023437504,3.27755069732666,1.5700640678405762,0.005281887948513031,-0.005728464107960463,96.24919128417969
train,1_7-4_2-3-100-4_png.rf.ba829371261b6c68213d7c134e3422e9.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/1_7-4_2-3-100-4_png.rf.ba829371261b6c68213d7c134e3422e9.jpg,7,8,3,3-100-4_png,1.7,4.2,7.14,5.9,44322,10.699259008661018,197.0,453.0,0.434878587196468,559210,-0.14602411060974507,-10.677342414855957,10.677342414855957,63.0,73.12040710449219,-11.59814682006836,-9.41231231689453,2.1858345031738295,2.9629225730895996,1.4639824628829956,0.004141754936426878,-0.00476031331345439,73.18508911132812
train,1_7-3_6-2-100-3_png.rf.8a038b949b97688962eff3900c27de8c.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/1_7-3_6-2-100-3_png.rf.8a038b949b97688962eff3900c27de8c.jpg,9,10,2,2-100-3_png,1.7,3.6,6.12,5.3,559137,13.234151591079657,1070.0,906.0,1.1810154525386314,906209,-0.07814182142334052,-5.902100563049316,5.902100563049316,70.0,75.53062438964844,-9.09520263671875,-3.4417236328125,5.6534790039062495,17.337406158447266,2.772318124771118,-0.005694114603102207,0.002115724142640829,79.45526123046875
train,1-1-4-5-7-100-2_png.rf.d4490aeb7d6f5c196a4f0beb577cbf9b.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/1-1-4-5-7-100-2_png.rf.d4490aeb7d6f5c196a4f0beb577cbf9b.jpg,10,11,7,7-100-2_png,1.1,4.5,4.95,5.6,49661,10.81299533211345,439.0,249.0,1.7630522088353413,921413,-0.3251018075037524,-42.90557098388672,42.90557098388672,89.0,131.97579956054688,-46.83763122558594,-39.82875061035156,7.008880615234375,6.61664342880249,5.725743770599365,-0.00010381903848610818,-0.0038232875522226095,133.8498077392578
train,1_1-4_8-3-100-4_png.rf.2918febcf14012f69acb5ec7c375e4a7.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/1_1-4_8-3-100-4_png.rf.2918febcf14012f69acb5ec7c375e4a7.jpg,11,12,3,3-100-4_png,1.1,4.8,5.28,5.9,43910,10.689920137152056,197.0,452.0,0.4358407079646018,559618,-0.10613647137440126,-13.877233505249023,13.877233505249023,117.0,130.74896240234375,-14.94283447265625,-11.946076965332031,2.9967575073242188,4.24228572845459,2.037170171737671,0.0057987733744084835,-0.007336919661611319,131.20960998535156
train,2-0-3-3_png.rf.b3288a171b18271000868ed152c4a082.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v7i.coco-segmentation/train/2-0-3-3_png.rf.b3288a171b18271000868ed152c4a082.jpg,12,13,2,png,2.0,3.3,6.6,5.3,994,6.902742737158593,35.0,63.0,0.5555555555555556,18738,-0.08163674583546617,-11.002002716064453,11.002002716064453,123.0,134.7677764892578,-14.788742065429688,-4.697450256347655,10.091291809082033,1.3907631635665894,3.905052661895752,0.0031524808146059513,0.002879171632230282,127.79696655273438
