split,filename,image_path,image_id,ann_id,layer,group,wb1,wb2,wb_product,wb_sum,area_px,log_area_px,bbox_w,bbox_h,bbox_aspect,roi_bg_pixels,ndg,delta_g,abs_delta_g,g_flake_median,g_bg_plane_median,g_delta_p10,g_delta_p90,g_delta_iqr,iqr_ndg,g_bg_std,g_flake_std,plane_a,plane_b,plane_c
train,1-1-3-3_png.rf.f132ea267a6093ea4f6730ef9f9f9f65.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-1-3-3_png.rf.f132ea267a6093ea4f6730ef9f9f9f65.jpg,1,4,7,png,1.1,3.3,3.63,4.4,923,6.828712071641684,63.0,24.0,2.625,12583,-0.33100329035176096,-47.30274200439453,47.30274200439453,92.0,142.90716552734375,-56.98686218261719,-18.991598510742183,37.99526367187501,0.2658737476995513,13.610321044921875,14.738519668579102,-0.005644754506647587,0.0037017627619206905,148.24525451660156
train,2-0-4-2_png.rf.83a5b72c58566eb0fb1aa7d8bde50b3b.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/2-0-4-2_png.rf.83a5b72c58566eb0fb1aa7d8bde50b3b.jpg,2,5,1,png,2.0,4.2,8.4,6.2,4903,8.497806477616047,124.0,53.0,2.339622641509434,54049,-0.03674991041067276,-3.5677542686462402,3.5677542686462402,93.0,97.08198547363281,-5.655758666992187,-1.3529953002929684,4.302763366699219,0.04432092468759652,5.490965843200684,1.7412045001983643,0.005366537254303694,-0.006865734234452248,96.58387756347656
train,1-7-3-9_png.rf.a8deca64617bbd06bf1e280235488398.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-9_png.rf.a8deca64617bbd06bf1e280235488398.jpg,3,6,2,png,1.7,3.9,6.63,5.6,1028,6.9363427358340495,35.0,65.0,0.5384615384615384,19332,-0.13789994322114665,-17.050996780395508,17.050996780395508,105.0,123.64759826660156,-23.587892150878908,-6.512181091308594,17.075711059570313,0.13809981996377063,1.2943110466003418,6.46073579788208,-0.0007018689648248255,0.005372986663132906,120.27967834472656
train,2-0-3-3_png.rf.59723c7c1da78c12c799a07ad00b631e.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/2-0-3-3_png.rf.59723c7c1da78c12c799a07ad00b631e.jpg,4,7,1,png,2.0,3.3,6.6,5.3,4875,8.492080490601163,123.0,53.0,2.3207547169811322,53605,-0.034274942427468875,-3.5400702953338623,3.5400702953338623,100.0,103.28450012207031,-5.845013427734375,-1.3431732177734375,4.501840209960937,0.0435867938039133,5.394947528839111,1.845327377319336,0.006188923493027687,-0.006381867453455925,101.15523529052734
train,0-8-4-2-3-10-4_png.rf.32e614811929c3c33837a26428790d9a.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/0-8-4-2-3-10-4_png.rf.32e614811929c3c33837a26428790d9a.jpg,6,9,3,3-10-4_png,0.8,4.2,3.3600000000000003,5.0,686,6.532334292222349,23.0,53.0,0.4339622641509434,10194,-0.12708886293348923,-16.453601837158203,16.453601837158203,112.0,129.46533203125,-25.418052673339844,-5.462348937988281,19.955703735351562,0.15413936242433385,1.053170084953308,7.513752460479736,0.003430610988289118,-0.006761894095689058,130.64805603027344
train,1-7-3-3_png.rf.6cf67ff9099ab0ce57156e0529384bea.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-3_png.rf.6cf67ff9099ab0ce57156e0529384bea.jpg,7,10,1,png,1.7,3.3,5.609999999999999,5.0,3114,8.043984431221553,171.0,60.0,2.85,88980,-0.0803659225718594,-10.112554550170898,10.112554550170898,116.0,125.83137512207031,-16.868997192382814,-3.724159240722656,13.144837951660158,0.10446391401912453,11.999067306518555,5.00469446182251,0.0011052675545215607,-0.01187952421605587,137.14552307128906
train,1-4-3-6_png.rf.09c7d7bcaca825684830a56c11dbbdf3.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-3-6_png.rf.09c7d7bcaca825684830a56c11dbbdf3.jpg,8,13,7,png,1.4,3.6,5.04,5.0,623,6.436150368369428,23.0,56.0,0.4107142857142857,10875,-0.18224970435365054,-22.96759796142578,22.96759796142578,98.0,126.02268981933594,-41.85386352539062,7.470596313476563,49.324459838867185,0.3913934856459414,31.109256744384766,18.532499313354492,0.08816893398761749,0.13113591074943542,-121.68223571777344
train,1-7-4-2_png.rf.c13d1a9b1c75e2e36673574149b0536b.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-4-2_png.rf.c13d1a9b1c75e2e36673574149b0536b.jpg,9,14,1,png,1.7,4.2,7.14,5.9,4719,8.459564078579602,129.0,62.0,2.0806451612903225,66955,-0.026480819762229265,-3.1087963581085205,3.1087963581085205,114.0,117.39804077148438,-5.699601745605468,-0.6498184204101567,5.049783325195312,0.04301420442803411,5.814301490783691,2.240596055984497,0.005170314572751522,-0.00938889104872942,119.71083068847656
train,1-4-3-3_png.rf.6668aa2907434c01664475b36ff7ac32.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-3-3_png.rf.6668aa2907434c01664475b36ff7ac32.jpg,10,15,4,png,1.4,3.3,4.619999999999999,4.699999999999999,4064,8.310169021981912,192.0,58.0,3.310344827586207,95895,-0.17860094403703394,-27.71950912475586,27.71950912475586,127.0,155.20359802246094,-31.345201110839845,-20.591491699218746,10.753709411621099,0.06928775845818233,21.256893157958984,5.063266754150391,-0.011276822537183762,-0.035720404237508774,210.61367797851562
train,1-7-3-6_png.rf.542cf4e512e41802a242248e50d73fb1.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-6_png.rf.542cf4e512e41802a242248e50d73fb1.jpg,14,19,1,png,1.7,3.6,6.12,5.3,3131,8.049427057110695,170.0,59.0,2.8813559322033897,86895,-0.0762815935253241,-9.419615745544434,9.419615745544434,115.0,123.48477935791016,-15.611968994140625,-3.44195556640625,12.170013427734375,0.0985547651379821,12.209771156311035,4.6191205978393555,0.0009732237085700035,-0.01390136033296585,137.17062377929688
train,1-7-4-5-3-10-2_png.rf.77213dded5d4ac0848072428f72d5df9.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-4-5-3-10-2_png.rf.77213dded5d4ac0848072428f72d5df9.jpg,16,21,7,3-10-2_png,1.7,4.5,7.6499999999999995,6.2,541,6.295266001439646,41.0,23.0,1.7826086956521738,7867,-0.5888080468841335,-36.35028076171875,36.35028076171875,23.0,61.73536682128906,-41.75148391723633,-19.656261444091797,22.09522247314453,0.35790218169603766,4.694774627685547,9.044072151184082,0.003287244588136673,0.0014842998934909701,58.69309997558594
