feature,coef,boundary_weight
intercept,8.441616541315033,
z_ndg,-9.863818463361644,
z_ndg2,-0.7304154934904971,
z_iqr,-0.02116834134183675,
z_wb1,-1.121515501332516,
z_wb2,-0.8289264084652566,
z_ndg_wb1,0.5197114743381821,
z_ndg_wb2,0.19341906398093603,
theta_layer_ge_2,-1.9405217750978951,1.0
theta_layer_ge_3,1.5518379281022532,1.4
theta_layer_ge_4,4.365405994447608,1.5
theta_layer_ge_6,8.264931670579253,1.0
theta_layer_ge_7,13.029104400030096,1.4
theta_layer_ge_8,17.650981963930388,1.2
theta_layer_ge_9,22.118907942969532,1.2
