pair,subpart_label,accepted,reason,class_id_dark_to_bright,area_px,effective_px,area_frac_effective,raw_mean,raw_median,raw_p5,raw_p95,smooth_mean,smooth_median,component_count,largest_component_px,largest_component_frac_of_class,largest_component_frac_effective,raw_file,infra_file,decision
pair_001,1,1,pass,1,7164,10552,0.678923426838514,89.07482147216797,89.0,83.0,95.0,89.05597686767578,89.0,10,7131,0.9953936348408711,0.6757960576194086,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,hybrid_raw_infra
pair_001,1,1,pass,2,3388,10552,0.32107657316148597,104.3656997680664,104.0,97.0,115.0,104.35212707519531,103.0,18,3228,0.9527744982290437,0.30591357088703564,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,hybrid_raw_infra
pair_001,2,1,pass,1,612,1548,0.3953488372093023,125.44281005859375,126.0,115.55000305175781,134.0,125.50326538085938,126.0,4,605,0.988562091503268,0.39082687338501293,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,hybrid_raw_infra
pair_001,2,1,pass,2,936,1548,0.6046511627906976,143.7820587158203,144.0,135.75,153.0,143.71473693847656,144.0,1,936,1.0,0.6046511627906976,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,hybrid_raw_infra
pair_002,1,0,minority_frac_not_above_min,1,3445,4225,0.8153846153846154,40.90130615234375,41.0,35.0,47.0,40.918724060058594,41.0,4,3441,0.9988388969521045,0.8144378698224852,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,raw_canny_multichannel
pair_002,1,0,minority_frac_not_above_min,2,780,4225,0.18461538461538463,55.91538619995117,53.0,49.0,70.0,56.05256271362305,53.0,14,543,0.6961538461538461,0.1285207100591716,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,raw_canny_multichannel
pair_002,2,1,pass,1,15060,21622,0.6965128110258071,93.19568634033203,95.0,80.0,102.0,93.19416046142578,95.0,6,15045,0.999003984063745,0.6958190731662196,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,raw_canny_multichannel
pair_002,2,1,pass,2,6562,21622,0.30348718897419297,119.44255065917969,120.0,111.0,125.0,119.47515869140625,120.0,18,6404,0.9759219750076197,0.29617981685320505,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,raw_canny_multichannel
pair_002,3,0,gray_delta_above_max,1,651,839,0.7759237187127532,35.85099792480469,33.0,17.0,63.0,35.986175537109375,33.0,1,651,1.0,0.7759237187127532,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,raw_canny_multichannel
pair_002,3,0,gray_delta_above_max,2,188,839,0.22407628128724671,106.81914520263672,103.5,74.0,144.0,106.69149017333984,102.5,3,153,0.8138297872340425,0.18235995232419547,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,raw_canny_multichannel
pair_002,4,0,gray_delta_above_max,1,1022,1173,0.8712702472293266,25.9344425201416,25.0,2.0,50.0,26.117416381835938,25.0,1,1022,1.0,0.8712702472293266,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,raw_canny_multichannel
