pair,subpart_label,accepted,reason,raw_gray_median_delta,smooth_gray_median_delta,minority_class,minority_frac,effective_px,trim_low_gray,trim_high_gray,compactness_per_px,raw_file,infra_file,raw_id,infra_id,decision,raw_canny_final_reason
pair_001,1,1,pass,15.0,14.0,2,0.32107657316148597,10552,83.0,117.0,18.336378680313693,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,hybrid_raw_infra,no_raw_canny_candidate_passed_gate
pair_001,2,1,pass,18.0,18.0,1,0.3953488372093023,1548,115.0,154.0,28.99730631161375,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,hybrid_raw_infra,no_raw_canny_candidate_passed_gate
pair_002,1,0,minority_frac_not_above_min,12.0,12.0,2,0.18461538461538463,4225,33.0,73.0,18.679310648446826,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,raw_canny_multichannel,raw_canny_vote3_raw_channel_score_improved
pair_002,2,1,pass,25.0,25.0,2,0.30348718897419297,21622,76.0,126.0,32.083005199089115,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,raw_canny_multichannel,raw_canny_vote3_raw_channel_score_improved
pair_002,3,0,gray_delta_above_max,70.5,69.5,2,0.22407628128724671,839,13.0,146.5,270.94276568825836,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,raw_canny_multichannel,raw_canny_vote3_raw_channel_score_improved
pair_002,4,0,gray_delta_above_max,86.0,84.0,2,0.1287297527706735,1173,1.0,134.0,257.3975180727251,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,raw_canny_multichannel,raw_canny_vote3_raw_channel_score_improved
pair_003,1,0,gray_delta_above_max,87.0,87.0,2,0.10946456032433943,21459,21.0,169.0,188.16576219313816,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,raw_canny_multichannel,raw_canny_lcorr_closed_raw_channel_score_improved
pair_003,2,1,pass,45.5,47.0,2,0.23910984848484848,8448,84.0,175.0,111.01452575557924,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,raw_canny_multichannel,raw_canny_lcorr_closed_raw_channel_score_improved
pair_003,3,1,pass,41.0,41.0,2,0.3551980198019802,808,13.0,110.5,153.33278994853055,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,raw_canny_multichannel,raw_canny_lcorr_closed_raw_channel_score_improved
pair_003,4,1,pass,42.0,42.0,2,0.3762114537444934,1135,63.0,166.0,178.35830207341206,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,raw_canny_multichannel,raw_canny_lcorr_closed_raw_channel_score_improved
pair_003,5,0,minority_frac_not_above_min,55.0,55.0,2,0.17005695687550854,2458,7.0,151.10000610351562,249.83073871005007,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,raw_canny_multichannel,raw_canny_lcorr_closed_raw_channel_score_improved
pair_004,1,1,pass,16.0,16.0,1,0.4550115266834119,29063,92.0,133.0,30.723237317276766,pair_004_raw_png.rf.bf8ad0670b2ddba44de804f783ddc7a7.jpg,pair_004_infra_png.rf.b159fad312a1c04302ff812ba6e5bcfb.jpg,5,4,merge_to_one,blocked_merge_to_one
pair_005,1,1,pass,14.0,14.0,2,0.4394376964240211,23546,25.0,63.0,24.87495439782648,pair_005_raw_png.rf.92da4ee7ee1823abf6f55a7448fe75d2.jpg,pair_005_infra_png.rf.714cab1ab06e457ffae5b311f629e9b3.jpg,16,1,merge_to_one,blocked_merge_to_one
pair_006,1,1,pass,31.0,31.0,2,0.4180109336708588,37133,41.0,109.0,51.74821166474501,pair_006_raw_png.rf.f409c7498bbd90cdae0508f9fcf3d5d9.jpg,pair_006_infra_png.rf.0b99e290142c63bd176e4c5e5d9436ec.jpg,0,6,raw_canny_multichannel,raw_canny_recall_clean_raw_channel_score_improved
pair_006,2,1,pass,20.0,20.0,2,0.29963459196102316,18062,7.0,52.0,31.680121007799574,pair_006_raw_png.rf.f409c7498bbd90cdae0508f9fcf3d5d9.jpg,pair_006_infra_png.rf.0b99e290142c63bd176e4c5e5d9436ec.jpg,0,6,raw_canny_multichannel,raw_canny_recall_clean_raw_channel_score_improved
pair_007,1,1,pass,25.0,24.0,2,0.45130475302889095,8584,15.0,80.0,90.48707586639011,pair_007_raw_png.rf.2caafe031e01aec9c5a356bcd065c8c8.jpg,pair_007_infra_png.rf.dfd9dd18142abe61c33d90f420eea441.jpg,2,12,merge_to_one,blocked_merge_to_one
pair_009,1,1,pass,51.0,51.0,2,0.3461769295402713,8331,18.0,139.0,222.24945572655736,pair_009_raw_png.rf.108261cb59747a61952774d136cc2b44.jpg,pair_009_infra_png.rf.f80bba86dfc5b4558ffe3882bcfb88cc.jpg,19,14,merge_to_one,blocked_merge_to_one
pair_010,1,1,pass,29.0,29.0,2,0.4459175424413905,18555,7.0,66.0,56.79224145663177,pair_010_raw_png.rf.d4eeff25dccbeedaeb2843b954922c3b.jpg,pair_010_infra_png.rf.77d98e3849059fdb2291c0b46a9beed9.jpg,17,15,merge_to_one,blocked_merge_to_one
pair_011,1,1,pass,15.0,15.0,2,0.47789084181313596,10810,153.0,207.0,34.9240337465975,pair_011_raw_png.rf.5265d4a8b08817dfa2b322bd35d5d3a0.jpg,pair_011_infra_png.rf.e5d9780f7acea2009f7c4d4d3d304838.jpg,3,8,raw_canny_multichannel,raw_canny_recall_clean_raw_channel_score_improved
pair_011,2,0,minority_frac_not_above_min,24.0,24.0,2,0.1255783212161269,3026,173.0,231.0,44.42682166146059,pair_011_raw_png.rf.5265d4a8b08817dfa2b322bd35d5d3a0.jpg,pair_011_infra_png.rf.e5d9780f7acea2009f7c4d4d3d304838.jpg,3,8,raw_canny_multichannel,raw_canny_recall_clean_raw_channel_score_improved
pair_011,3,1,pass,21.0,21.0,2,0.37099526066350713,10550,82.0,154.0,74.35016886957872,pair_011_raw_png.rf.5265d4a8b08817dfa2b322bd35d5d3a0.jpg,pair_011_infra_png.rf.e5d9780f7acea2009f7c4d4d3d304838.jpg,3,8,raw_canny_multichannel,raw_canny_recall_clean_raw_channel_score_improved
pair_011,4,0,gray_delta_above_max,62.0,61.0,2,0.30187416331994643,1494,127.0,236.0,210.16024908065995,pair_011_raw_png.rf.5265d4a8b08817dfa2b322bd35d5d3a0.jpg,pair_011_infra_png.rf.e5d9780f7acea2009f7c4d4d3d304838.jpg,3,8,raw_canny_multichannel,raw_canny_recall_clean_raw_channel_score_improved
pair_011,5,0,gray_delta_above_max,180.5,179.0,2,0.2037687639731715,9393,8.0,239.0,624.8589815046716,pair_011_raw_png.rf.5265d4a8b08817dfa2b322bd35d5d3a0.jpg,pair_011_infra_png.rf.e5d9780f7acea2009f7c4d4d3d304838.jpg,3,8,raw_canny_multichannel,raw_canny_recall_clean_raw_channel_score_improved
