method,raw_file,infra_file,raw_image_id,infra_image_id,raw_block,infra_block,reg_iou,decision,gt_regions,pred_regions,ari,cover_gt,cover_pred,boundary_precision,boundary_recall,boundary_f1,eval_area,raw_regions,infra_candidate_regions,raw_score,infra_score,auto_mask_iou
raw_v3_warp,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,raw,2,2,0.6600009339867365,0.8677060270202476,0.8479673301271089,0.05037783375302172,0.05128205128191979,0.050825920719732506,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
merge_to_one,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,one,2,1,0.0,0.7398481543642239,0.8463005590265247,0.0,0.0,0.0,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
infra_candidate,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,infra,2,5,0.13001792477139248,0.4517941086507512,0.37519957066728016,0.07285382830623069,0.3358974358965746,0.11973743548497878,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
infra_candidate_coarse,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,infra_coarse,2,3,0.33444329212384594,0.6873338574365639,0.5982003511664956,0.12188612099633284,0.3358974358965746,0.17886721708613884,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
infra_coarse_t2,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,infra_t2,2,2,-0.1011674149985313,0.5937674979728481,0.5852826940027562,0.31590909090837294,0.3358974358965746,0.32559678090334987,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
infra_coarse_t3,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,infra_t3,2,3,-0.11443412851774475,0.49973601317087873,0.44156766023492283,0.17820512820489973,0.3358974358965746,0.23286655111643403,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
infra_coarse_t4,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,infra_t4,2,4,-0.10308991227869879,0.412912895211112,0.3302380652592372,0.12624886466836854,0.3358974358965746,0.18352054223244474,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
hybrid_raw_infra,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,hybrid,2,2,0.8423676196625436,0.9401317411718725,0.9372456077402505,0.6052009456250468,0.6435897435880934,0.6238052933396173,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
raw_led_refined,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,raw_led,2,2,0.6450022842383539,0.8615185568613921,0.8401265852025757,0.019851116625260914,0.020512820512767916,0.0201765442667922,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
raw_led_weakmerge,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,raw_led_weakmerge,2,2,0.6450022842383539,0.8615185568613921,0.8401265852025757,0.019851116625260914,0.020512820512767916,0.0201765442667922,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
