method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
hybrid_raw_infra,10,0.2434933581535914,0.022043104001608627,0.18627916380494278,0.5754174039790649,39,26
infra_candidate,10,0.12066743698199996,0.03124180994812202,0.12280255321074682,0.3678449850419205,78,26
infra_candidate_coarse,10,0.14369854753990458,0.024154479912022988,0.12823802884555172,0.43682103251383475,42,26
infra_coarse_t2,10,0.07541898254913916,0.0,0.09615646409333276,0.6479292546061286,20,26
infra_coarse_t3,10,0.10493160887750022,0.0,0.09641577455543483,0.5657993038066758,30,26
infra_coarse_t4,10,0.09062372166326067,0.0,0.10387022667716203,0.5015681746823437,40,26
mean_shift_watershed,10,0.20782214190713807,0.014228332167571262,0.09886708037759895,0.6166165906035638,42,26
merge_to_one,10,0.5,0.5,0.5,0.7561249258456278,10,26
raw_canny_lcorr_closed,10,0.40889046785086497,0.3071261101049003,0.30100960527803167,0.8287150080663975,22,26
raw_canny_recall_clean,10,0.20415665987557646,0.0,0.11398573113422708,0.4421946674544124,99,26
raw_canny_union_closed,10,0.23789318768352247,0.0,0.10837475060333764,0.5999380732145978,57,26
raw_canny_vote3,10,0.4899878334897843,0.44786349425191907,0.4223736108813208,0.7866083272847059,40,26
raw_led_refined,10,0.23059000934526472,0.014507583357082592,0.12307528597100885,0.635016373853912,50,26
raw_led_weakmerge,10,0.22752656873514548,0.014507583357082592,0.11334517940708067,0.6388417421760504,42,26
raw_v3_warp,10,0.20382962932745746,0.011599237025800572,0.09933770513314351,0.6310740528358737,39,26
selective_hybrid_v4_smooth,10,0.9028822741063489,0.9600199953584243,0.7212934112035009,0.9310473200736687,23,26
watershed_raw_led_seed,10,0.23224418134568653,0.014228332167571262,0.1261424131831527,0.6342788774111208,50,26
watershed_raw_seed,10,0.20725804821768276,0.01140786372029471,0.10031946462309924,0.6318545513884282,39,26
