method,raw_file,infra_file,raw_image_id,infra_image_id,raw_block,infra_block,reg_iou,decision,gt_regions,pred_regions,ari,cover_gt,cover_pred,boundary_precision,boundary_recall,boundary_f1,eval_area,raw_regions,infra_candidate_regions,raw_score,infra_score,auto_mask_iou
raw_v3_warp,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,raw,2,2,0.666985992640751,0.87055100840984,0.8515649933473042,0.032338308457631,0.033333333333247867,0.03282828232831472,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
merge_to_one,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,one,2,1,0.0,0.7397850696316286,0.8462550141381145,0.0,0.0,0.0,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
infra_candidate,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,infra,2,2,0.09561188055104657,0.5482725018637739,0.4688998914794255,0.03465909090907122,0.15897435897395135,0.05691069115137688,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
infra_candidate_coarse,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,infra_coarse,2,1,0.0,0.7397850696316286,0.8462550141381145,0.0,0.0,0.0,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
hybrid_raw_infra,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,hybrid,2,2,0.8082796432727435,0.9271187416367375,0.9224208687337012,0.4268292682916419,0.45128205128089416,0.4387151907249872,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
raw_led_refined,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,raw_led,2,2,0.6614481779164728,0.868281634459822,0.8487016555938647,0.024875621890485384,0.025641025640959894,0.02525252475257628,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
mean_shift_watershed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed,2,2,0.6833702261462156,0.8772249248402993,0.8599500182122627,0.028423772609745677,0.028205128205055885,0.028314027813962896,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
watershed_raw_seed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed_raw,2,2,0.6833702261462156,0.8772249248402993,0.8599500182122627,0.028423772609745677,0.028205128205055885,0.028314027813962896,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
watershed_raw_led_seed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,watershed_raw_led,2,2,0.6788885038599417,0.8754051723107233,0.8576691314072017,0.015463917525733341,0.015384615384575938,0.015424164024385265,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
selective_hybrid_v4_smooth,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222666810857131,keep_raw,2,2,0.666985992640751,0.87055100840984,0.8515649933473042,0.032338308457631,0.033333333333247867,0.03282828232831472,15207,2,2,0.595236905797532,0.4964811584043551,0.8000218197686668
