method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
hybrid_raw_infra,10,0.204904001160245,0.03428859119624793,0.13713350462370202,0.5318592848789364,37,26
infra_candidate,10,0.1216973335503164,0.031233448175150197,0.11559117648030737,0.41006177750019307,68,26
infra_candidate_coarse,10,0.12529989414517045,0.0,0.11508064114877889,0.47634623250577623,37,26
mean_shift_watershed,10,0.212358942220978,0.0587181264837266,0.12697756227968932,0.6236433250636007,39,26
merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
raw_led_refined,10,0.20818542234443918,0.050478981153029984,0.1183413400421927,0.6220807171680507,51,26
raw_v3_warp,10,0.21122550353845604,0.0533502684644293,0.10074959027100543,0.6246128728259094,37,26
selective_hybrid_v4_smooth,10,0.5609894908687574,0.6409077663987274,0.4724394908780054,0.7861108252938008,25,26
watershed_raw_led_seed,10,0.21191076999235064,0.0587181264837266,0.12568857590073154,0.6225075773558013,51,26
watershed_raw_seed,10,0.21658911815705012,0.059347725018614836,0.11127742423175235,0.6251421027799497,37,26
