complexity,method,blocks,ari_mean,ari_median,boundary_f1_mean,cover_gt_mean,pred_regions_total,gt_regions_total
all,hybrid_raw_infra,10,0.204904001160245,0.03428859119624793,0.13713350462370202,0.5318592848789364,37,26
all,infra_candidate,10,0.1216973335503164,0.031233448175150197,0.11559117648030737,0.41006177750019307,68,26
all,infra_candidate_coarse,10,0.12529989414517045,0.0,0.11508064114877889,0.47634623250577623,37,26
all,mean_shift_watershed,10,0.212358942220978,0.0587181264837266,0.12697756227968932,0.6236433250636007,39,26
all,merge_to_one,10,0.5,0.5,0.5,0.7561080235150701,10,26
all,raw_led_refined,10,0.20818542234443918,0.050478981153029984,0.1183413400421927,0.6220807171680507,51,26
all,raw_v3_warp,10,0.21122550353845604,0.0533502684644293,0.10074959027100543,0.6246128728259094,37,26
all,selective_hybrid_v4_smooth,10,0.5609894908687574,0.6409077663987274,0.4724394908780054,0.7861108252938008,25,26
all,watershed_raw_led_seed,10,0.21191076999235064,0.0587181264837266,0.12568857590073154,0.6225075773558013,51,26
all,watershed_raw_seed,10,0.21658911815705012,0.059347725018614836,0.11127742423175235,0.6251421027799497,37,26
complex_gt_gt1,hybrid_raw_infra,5,0.40980800232049,0.42789179170684877,0.27426700924740405,0.5838884005466728,18,21
complex_gt_gt1,infra_candidate,5,0.2433946671006328,0.22102707017490217,0.23118235296061473,0.4842299544988548,34,21
complex_gt_gt1,infra_candidate_coarse,5,0.2505997882903409,0.21064312292266554,0.23016128229755778,0.5448775575002447,18,21
complex_gt_gt1,mean_shift_watershed,5,0.424717884441956,0.4112763820125386,0.25395512455937863,0.639119191777179,19,21
complex_gt_gt1,merge_to_one,5,0.0,0.0,0.0,0.5122160470302647,5,21
complex_gt_gt1,raw_led_refined,5,0.41637084468887836,0.4078143552552195,0.2366826800843854,0.636691186900294,19,21
complex_gt_gt1,raw_v3_warp,5,0.4224510070769121,0.4039965608645971,0.20149918054201085,0.6392380605730624,18,21
complex_gt_gt1,selective_hybrid_v4_smooth,5,0.32197898173751466,0.21064312292266554,0.1448789817560109,0.619314394460855,17,21
complex_gt_gt1,watershed_raw_led_seed,5,0.4238215399847013,0.4112763820125386,0.2513771518014631,0.6387552412712638,19,21
complex_gt_gt1,watershed_raw_seed,5,0.43317823631410024,0.4103438797282498,0.2225548484635047,0.6421601163744015,18,21
single_gt,hybrid_raw_infra,5,0.0,0.0,0.0,0.4798301692111999,19,5
single_gt,infra_candidate,5,0.0,0.0,0.0,0.33589360050153144,34,5
single_gt,infra_candidate_coarse,5,0.0,0.0,0.0,0.40781490751130783,19,5
single_gt,mean_shift_watershed,5,0.0,0.0,0.0,0.6081674583500221,20,5
single_gt,merge_to_one,5,1.0,1.0,1.0,0.9999999999998754,5,5
single_gt,raw_led_refined,5,0.0,0.0,0.0,0.6074702474358074,32,5
single_gt,raw_v3_warp,5,0.0,0.0,0.0,0.6099876850787563,19,5
single_gt,selective_hybrid_v4_smooth,5,0.8,1.0,0.8,0.9529072561267468,8,5
single_gt,watershed_raw_led_seed,5,0.0,0.0,0.0,0.6062599134403387,32,5
single_gt,watershed_raw_seed,5,0.0,0.0,0.0,0.6081240891854981,19,5
