image_id,ann_id,file_name,group_id,layer_gt,wb1,wb2,g_flake_peak,g_bg_median,delta_g,normalized_delta_g,area_px,log_area_px,bbox_x,bbox_y,bbox_w,bbox_h
0,1,1-4-3-6-12-100-5_png.rf.a4a0325020ffec68ecff71002da76fcb.jpg,1-4-3-6-12-100-5_png,9,1.4,3.6,-50.151512145996094,-0.09235000610351562,-50.05916213989258,-0.49459625683001207,62950,11.050111924969828,585.0,240.0,266.0,502.0
1,2,2-0-4-2_png.rf.57c3a840ec9cb70e633c9f544f82335b.jpg,2-0-4-2_png,4,2.0,4.2,-24.873762130737305,0.034610748291015625,-24.90837287902832,-0.26231794447147694,3681,8.211211361793023,1507.0,1025.0,190.0,57.0
2,3,1-7-3-3_png.rf.5162294bd914028db5716491540feee2.jpg,1-7-3-3_png,9,1.7,3.3,-67.82975769042969,-0.0524444580078125,-67.77731323242188,-0.48328888351158233,2246,7.717351272185329,1454.0,769.0,95.0,59.0
3,4,1_7-4_2-3-100_png.rf.8cc4fccf8aef42906ae3d956c2292e20.jpg,1_7-4_2-3-100_png,3,1.7,4.2,-12.426953315734863,-0.05091094970703125,-12.376042366027832,-0.16223239424083183,111834,11.624779849744371,650.0,313.0,419.2,428.531
4,5,1_7-3_9-3-100-4_png.rf.8c4880254fea02562928dc9abc6654e9.jpg,1_7-3_9-3-100-4_png,3,1.7,3.9,-12.397189140319824,-0.007183074951171875,-12.390006065368652,-0.16209733758304332,43618,10.683248114229192,475.0,205.0,195.0,452.0
5,6,0_8-3_6-3-100_png.rf.f16ff1a36a3d54da1be3382a757cb2d6.jpg,0_8-3_6-3-100_png,3,0.8,3.6,-9.844185829162598,-0.06829833984375,-9.775887489318848,-0.05996770782691195,112365,11.629516679578863,488.0,188.0,412.8,422.134
6,7,1_4-4_5-3-100-4_png.rf.67ca7e725d9762296194ffbde0c689f3.jpg,1_4-4_5-3-100-4_png,3,1.4,4.5,-11.168291091918945,-0.008098602294921875,-11.160192489624023,-0.11480227298947324,43809,10.687617380807945,475.0,206.0,196.0,451.0
7,8,1_7-4_2-3-100-4_png.rf.ba829371261b6c68213d7c134e3422e9.jpg,1_7-4_2-3-100-4_png,3,1.7,4.2,-11.5516357421875,-0.08370208740234375,-11.467933654785156,-0.15390895204604066,43808,10.687594554708582,476.0,205.0,196.0,452.0
8,9,1-1-3-9-12-100-5_png.rf.9199599b3b62922a35cf98e4b397c53c.jpg,1-1-3-9-12-100-5_png,9,1.1,3.9,-59.71137619018555,0.04254150390625,-59.7539176940918,-0.44162483990387635,62767,11.047200668449333,584.0,242.0,267.0,501.0
9,10,1_7-3_6-2-100-3_png.rf.8a038b949b97688962eff3900c27de8c.jpg,1_7-3_6-2-100-3_png,2,1.7,3.6,-5.56726598739624,-0.10355377197265625,-5.463712215423584,-0.0710975869757948,557554,13.231316432158875,268.0,25.0,1069.0,905.0
10,11,1-1-4-5-7-100-2_png.rf.d4490aeb7d6f5c196a4f0beb577cbf9b.jpg,1-1-4-5-7-100-2_png,7,1.1,4.5,-45.77323532104492,-0.0693817138671875,-45.703853607177734,-0.3369933844500824,49242,10.804522504518832,424.0,351.0,438.0,248.0
11,12,1_1-4_8-3-100-4_png.rf.2918febcf14012f69acb5ec7c375e4a7.jpg,1_1-4_8-3-100-4_png,3,1.1,4.8,-16.24778938293457,0.02677154541015625,-16.274560928344727,-0.1227341266745239,43386,10.677915136047172,475.0,207.0,196.0,451.0
12,13,2-0-3-3_png.rf.b3288a171b18271000868ed152c4a082.jpg,2-0-3-3_png,2,2.0,3.3,-12.742164611816406,0.0213775634765625,-12.763542175292969,-0.09476627619515789,927,6.833031732786201,1444.0,789.0,34.0,62.0
13,14,1-7-4-2_png.rf.a0c8cd567cf1c01c15786eb9f5331acb.jpg,1-7-4-2_png,4,1.7,4.2,-18.274948120117188,0.0032958984375,-18.278244018554688,-0.15877181320938202,8194,9.01127949117793,1310.0,1070.0,168.714,98.25
13,15,1-7-4-2_png.rf.a0c8cd567cf1c01c15786eb9f5331acb.jpg,1-7-4-2_png,3,1.7,4.2,-14.38960075378418,-0.00499725341796875,-14.384603500366211,-0.12437750843732107,6449,8.771835409789817,1404.0,1061.0,155.478,79.647
13,16,1-7-4-2_png.rf.a0c8cd567cf1c01c15786eb9f5331acb.jpg,1-7-4-2_png,4,1.7,4.2,-18.20159149169922,0.02220916748046875,-18.223800659179688,-0.15728646783121897,2306,7.7437032581737535,1502.0,1059.0,104.95,46.642
14,17,2-0-3-3_png.rf.59723c7c1da78c12c799a07ad00b631e.jpg,2-0-3-3_png,1,2.0,3.3,-3.4696788787841797,-0.0494537353515625,-3.420225143432617,-0.033319482910614866,4733,8.46252579007393,1324.0,986.0,122.0,52.0
15,18,2-1-4-2-1_png.rf.36f8d96e373b6d31efde0dfce503e0f3.jpg,2-1-4-2-1_png,1,2.1,4.2,-2.202972412109375,-0.00605010986328125,-2.1969223022460938,-0.025133819225034684,4928,8.502891406705377,1326.0,983.0,124.449,59.223
