split,filename,image_path,image_id,ann_id,layer,group,flake_rep_mode,flake_rep_source,wb1,wb2,wb_product,wb_sum,area_px,log_area_px,bbox_w,bbox_h,bbox_aspect,roi_bg_pixels,roi_bg_initial_pixels,roi_bg_clip_iterations,roi_bg_residual_sigma,ndg,ndg_peak,ndg_mask_median,ndg_trimmed_median,ndg_central_median,ndg_largest_inner_median,delta_g,abs_delta_g,g_flake_rep,g_flake_peak,g_flake_mask_median,g_flake_trimmed_median,g_flake_central_median,g_flake_largest_inner_median,g_flake_median,flake_inner_area_px,flake_largest_inner_area_px,g_bg_plane_median,g_delta_p10,g_delta_p90,g_delta_iqr,iqr_ndg,g_bg_std,g_flake_std,plane_a,plane_b,plane_c
train,1-4-3-6-3-10_png.rf.ad84b927b1babbe89c96f28f7ea04ec2.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/1-4-3-6-3-10_png.rf.ad84b927b1babbe89c96f28f7ea04ec2.jpg,0,1,3,3-10_png,largest_inner_median,largest_inner_median,1.4,3.6,5.04,5.0,1130,7.030857476116121,40.0,42.0,0.9523809523809523,19649,21876.0,2.0,1.0,-0.012022323509437658,-0.0016330118691435796,-0.009605096552662668,-0.009605096552662668,-0.012022323509437658,-0.012022323509437658,-1.11614990234375,1.11614990234375,-1.0277328491210938,-0.06319141387939453,-0.8033180236816406,-0.8033180236816406,-1.0277328491210938,-1.0277328491210938,-1.0277328491210938,822.0,822.0,92.83978271484375,-1.771204376220703,0.22400360107421877,1.9952079772949218,0.021490872974392655,0.8227037191390991,0.7516952753067017,0.0031480100005865097,-0.010814775712788105,93.49254608154297
train,1-1-3-6_png.rf.aa3b09c58c224ab8f39001a4cdb94467.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/1-1-3-6_png.rf.aa3b09c58c224ab8f39001a4cdb94467.jpg,2,3,1,png,largest_inner_median,largest_inner_median,1.1,3.6,3.9600000000000004,4.7,1571,7.360103972989152,121.0,43.0,2.813953488372093,52217,58019.0,0.0,1.2175074279785156,-0.06195081867292579,-0.042336775749354016,-0.043146343245930016,-0.043146343245930016,-0.06195081867292579,-0.06195081867292579,-9.662078857421875,9.662078857421875,-9.720779418945312,-6.66170072555542,-6.7879638671875,-6.7879638671875,-9.720779418945312,-9.720779418945312,-9.720779418945312,935.0,935.0,155.9636993408203,-14.376541137695312,-1.44842529296875,12.928115844726562,0.08289182610676184,1.0908931493759155,4.686515808105469,6.46611224510707e-05,-0.004384728614240885,156.30490112304688
train,1-1-3-3_png.rf.c261063b5889868af9ae9be40720b604.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/1-1-3-3_png.rf.c261063b5889868af9ae9be40720b604.jpg,5,6,1,png,largest_inner_median,largest_inner_median,1.1,3.3,3.63,4.4,1556,7.350516171833998,122.0,44.0,2.772727272727273,59528,66078.0,2.0,1.0,-0.05996946686245333,-0.031075087580414003,-0.037048561372713534,-0.037048561372713534,-0.05996946686245333,-0.05996946686245333,-10.084121704101562,10.084121704101562,-10.0833740234375,-5.224660873413086,-6.2291259765625,-6.2291259765625,-10.0833740234375,-10.0833740234375,-10.0833740234375,915.0,915.0,168.15426635742188,-14.725669860839844,-1.2279815673828125,13.497688293457031,0.080269674899398,0.9775474071502686,4.796867370605469,0.001330801984295249,-0.00471076974645257,168.24468994140625
train,2-0-3-3_png.rf.b2bec3551c0a2a760e881df5c7aaa583.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/2-0-3-3_png.rf.b2bec3551c0a2a760e881df5c7aaa583.jpg,8,11,1,png,largest_inner_median,largest_inner_median,2.0,3.3,6.6,5.3,1658,7.413970290190444,44.0,121.0,0.36363636363636365,55002,61114.0,0.0,1.0,-0.07531026406308534,-0.053467767871240995,-0.05426405070110313,-0.05426405070110313,-0.07531026406308534,-0.07531026406308534,-7.423259735107422,7.423259735107422,-7.451057434082031,-5.2980637550354,-5.376552581787109,-5.376552581787109,-7.451057434082031,-7.451057434082031,-7.451057434082031,1018.0,1018.0,98.56903076171875,-11.905226135253907,-0.9162651062011723,10.988961029052735,0.11148492527655571,0.7988346815109253,3.830476760864258,-0.0035582019481807947,-0.0009809896582737565,99.1190414428711
train,1-7-4-2_png.rf.a047f71a6422e7375350a29d88b6d6a6.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/1-7-4-2_png.rf.a047f71a6422e7375350a29d88b6d6a6.jpg,9,12,1,png,largest_inner_median,largest_inner_median,1.7,4.2,7.14,5.9,1634,7.399398083331354,120.0,44.0,2.727272727272727,54149,60167.0,0.0,1.302003140258789,-0.06163482290465078,-0.039903822513940645,-0.042244104795368886,-0.042244104795368886,-0.06163482290465078,-0.06163482290465078,-7.076831817626953,7.076831817626953,-7.107311248779297,-4.612185478210449,-4.880893707275391,-4.880893707275391,-7.107311248779297,-7.107311248779297,-7.107311248779297,1000.0,1000.0,114.8187255859375,-11.498149108886718,-0.8972419738769529,10.600907135009765,0.0923273366858212,1.1389274597167969,3.8616480827331543,-0.0009183196234516799,-0.004797100555151701,115.42753601074219
train,2-0-4-2_png.rf.8f93d068564cccecf0bc3b23810aa59a.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/2-0-4-2_png.rf.8f93d068564cccecf0bc3b23810aa59a.jpg,12,17,1,png,largest_inner_median,largest_inner_median,2.0,4.2,8.4,6.2,2488,7.819636302367592,88.0,38.0,2.3157894736842106,39289,43658.0,1.0,1.0,-0.0341701693910372,-0.037424334416317845,-0.03092569415766976,-0.03092569415766976,-0.0341701693910372,-0.0341701693910372,-3.2890586853027344,3.2890586853027344,-3.3140220642089844,-3.6272525787353516,-3.0017242431640625,-3.0017242431640625,-3.3140220642089844,-3.3140220642089844,-3.3140220642089844,1996.0,1996.0,96.25526428222656,-4.0490669250488285,-0.8667724609374976,3.182294464111331,0.03306099139451366,0.7823917269706726,1.2383352518081665,0.0023427344858646393,-0.004962194710969925,96.21814727783203
train,1-4-4-8_png.rf.0e318380d4efab00f328bb3ce2b4ff17.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/1-4-4-8_png.rf.0e318380d4efab00f328bb3ce2b4ff17.jpg,19,30,1,png,largest_inner_median,largest_inner_median,1.4,4.8,6.72,6.199999999999999,2285,7.734558844354756,85.0,35.0,2.4285714285714284,37960,41896.0,0.0,1.0,-0.06545679129812466,-0.06856126322447319,-0.0643380824098891,-0.0643380824098891,-0.06545679129812466,-0.06545679129812466,-7.295574188232422,7.295574188232422,-7.2944793701171875,-7.6404924392700195,-7.169792175292969,-7.169792175292969,-7.2944793701171875,-7.2944793701171875,-7.2944793701171875,1815.0,1815.0,111.45633697509766,-7.706813049316406,-5.647715759277344,2.0590972900390625,0.01847447481159479,0.6761897802352905,1.0427378416061401,0.00315273180603981,-0.0009008616907522082,110.9811782836914
train,1-4-4-2_png.rf.69caebdd51146651be23cb6bdcce4a7a.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/1-4-4-2_png.rf.69caebdd51146651be23cb6bdcce4a7a.jpg,20,31,1,png,largest_inner_median,largest_inner_median,1.4,4.2,5.88,5.6,1597,7.37650812632622,43.0,121.0,0.35537190082644626,59005,65575.0,1.0,1.0,-0.09490031429357171,-0.05005108209700144,-0.05765177359891065,-0.05765177359891065,-0.09490031429357171,-0.09490031429357171,-12.14223861694336,12.14223861694336,-12.147083282470703,-6.408745288848877,-7.381233215332031,-7.381233215332031,-12.147083282470703,-12.147083282470703,-12.147083282470703,962.0,962.0,127.94729614257812,-16.754241943359375,-1.6201431274414029,15.134098815917973,0.1182838502429413,0.8240035176277161,5.388934135437012,0.0026578702963888645,0.001642757561057806,127.32368469238281
train,2-3-3-9_png.rf.eaf71998d16c661baad7b43d55389a34.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/2-3-3-9_png.rf.eaf71998d16c661baad7b43d55389a34.jpg,23,36,2,png,largest_inner_median,largest_inner_median,2.3,3.9,8.969999999999999,6.199999999999999,497,6.210600077024653,23.0,46.0,0.5,14266,15832.0,0.0,1.0,-0.10466362394248044,-0.11200068523409877,-0.09124452882491142,-0.09124452882491142,-0.10466362394248044,-0.10466362394248044,-10.991340637207031,10.991340637207031,-11.033729553222656,-11.804237365722656,-9.62451171875,-9.62451171875,-11.033729553222656,-11.033729553222656,-11.033729553222656,243.0,243.0,105.01586151123047,-11.82604522705078,-2.514779663085935,9.311265563964845,0.08866532569433896,0.48746392130851746,3.393857955932617,-0.0005079091060906649,-0.003358637448400259,105.35493469238281
train,2-0-4-5_png.rf.711d1e951f6453b85407d50a852596eb.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/2-0-4-5_png.rf.711d1e951f6453b85407d50a852596eb.jpg,28,43,1,png,largest_inner_median,largest_inner_median,2.0,4.5,9.0,6.5,1618,7.389563953677635,44.0,122.0,0.36065573770491804,55763,61959.0,0.0,1.0,-0.07276733519501839,-0.057393775120762575,-0.05537860155791534,-0.05537860155791534,-0.07276733519501839,-0.07276733519501839,-6.646873474121094,6.646873474121094,-6.771728515625,-5.367443084716797,-5.183368682861328,-5.183368682861328,-6.771728515625,-6.771728515625,-6.771728515625,975.0,975.0,91.34419250488281,-10.235755920410156,-0.7624084472656253,9.47334747314453,0.10371045179077074,0.8244761824607849,3.337167263031006,-0.0022671744227409363,-4.254317900631577e-06,91.53572082519531
train,2-0-4-5_png.rf.406f8d3647aa9fe444f9b9c36d80ea96.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/2-0-4-5_png.rf.406f8d3647aa9fe444f9b9c36d80ea96.jpg,34,49,1,png,largest_inner_median,largest_inner_median,2.0,4.5,9.0,6.5,1616,7.388327859577107,122.0,44.0,2.772727272727273,55746,61940.0,0.0,1.0,-0.07666085905745726,-0.05076423910772678,-0.05128111138702775,-0.05128111138702775,-0.07666085905745726,-0.07666085905745726,-7.004615783691406,7.004615783691406,-7.129783630371094,-4.763571262359619,-4.810798645019531,-4.810798645019531,-7.129783630371094,-7.129783630371094,-7.129783630371094,973.0,973.0,91.37147521972656,-10.973194122314453,-0.7054290771484375,10.267765045166016,0.1123738565069076,0.8591100573539734,3.6409356594085693,0.00023256441636476666,-0.0029542557895183563,91.56655883789062
train,1-7-3-3_png.rf.8af48321b5667b01e2f0f528367cc1f3.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v10-argmented-10x.coco-segmentation/train/1-7-3-3_png.rf.8af48321b5667b01e2f0f528367cc1f3.jpg,37,52,1,png,largest_inner_median,largest_inner_median,1.7,3.3,5.609999999999999,5.0,735,6.601230118728877,20.0,58.0,0.3448275862068966,14275,15861.0,0.0,1.0,-0.03776197206709661,-0.03635892939596677,-0.035419290104470216,-0.035419290104470216,-0.03776197206709661,-0.03776197206709661,-4.702045440673828,4.702045440673828,-4.698566436767578,-4.523862361907959,-4.4068603515625,-4.4068603515625,-4.698566436767578,-4.698566436767578,-4.698566436767578,450.0,450.0,124.51800537109375,-6.174893188476562,-2.638470458984375,3.5364227294921875,0.028400894464642227,0.6899294853210449,1.598600149154663,0.007731677498668432,-0.00010231034684693441,124.21440887451172
